india,325
russia,395
czechia,62
germany,518
belgium,72
saint vincent and the grenadines,0
Undefined,2465
georgia,1
lithuania,7
guatemala,1
zambia,0
spain,169
taiwan,27
kenya,3
sri lanka,1
somalia,4
france,673
finland,45
austria,345
vietnam,2
colombia,7
cambodia,1
ireland,37
afghanistan,3
netherlands,120
indonesia,9
angola,0
mexico,49
bangladesh,7
lebanon,2
united states,8710
timor-leste,1
norfolk island,0
turkey,34
costa rica,1
thailand,15
poland,128
laos,0
iceland,6
el salvador,0
luxembourg,5
algeria,1
egypt,1
nicaragua,12
ecuador,0
japan,397
morocco,6
china,485
kuwait,1
montenegro,0
united kingdom,2024
portugal,80
congo (kinshasa),0
uzbekistan,0
malta,16
uganda,1
hungary,54
slovakia,3
zimbabwe,0
tunisia,4
kazakhstan,0
liberia,4
israel,63
malaysia,2
denmark,10
nepal,4
cyprus,2
mauritius,0
ghana,2
uruguay,10
peru,1
fiji,1
canada,1706
australia,405
romania,18
korea,50
blank field,5161
belarus,11
serbia,3
nigeria,5
saudi arabia,2
croatia,8
south africa,81
cura袯,2
liechtenstein,1
greece,26
norway,54
macedonia,0
qatar,1
new zealand,111
gibraltar,0
latvia,3
venezuela,7
dominican republic,11
argentina,47
united arab emirates,2
ukraine,24
cuba,3
paraguay,0
estonia,21
kyrgyzstan,0
bulgaria,15
singapore,47
hong kong,20
philippines,29
iran,14
moldova,4
switzerland,902
chile,6
pakistan,20
italy,243
panama,8
jamaica,2
azerbaijan,0
sweden,161
brazil,83
armenia,1
mongolia,0
slovenia,13
